content,label
이종석 한효주 나오는 드라마 이후로 드라마 안봤다. 2년전인가?? 좀 신선했었지. 근데 이런 개막장 드라마는 도대체 누가 보느냐면 변태들이 보는 것이다. 정상적인 사람들은 채널을 돌리게 된다.,0.0
씨바알..노무노무 술프노... 오늘 저녁은 꽂등심이다ㅠㅜ,0.0
짱깨 꺼라ㅡ패쓰,0.0
다음도 들어와라하고...다른 의견내는 유튜버 목 자르고....추아줌마 꺼 여기저기서 진술나오니...무슨 기강감찰이니 하며 협박들어가고..... 댓글에 중국 러시아 욕하는 사람들 이제 아가리 닥쳐라. 우리나라도 똑같이 되었다.,0.0
나경아 젖깐사진이나 인스타에 좀올려라 물좀빼게,0.0
어린시절 가정교육 못 받은 애들은 절대 그 본성을 숨길수없지,0.0
개별 공무원 뷰웅들의 헷지랄에 뭔 청와대까지 들먹이는지... 빠끄네 때도 순시리가 개뻘짓했지 청와대는 암것도 않했지 말입니다~,0.0
서열1위네 좆냥이 찍소리도못함ㅋ,0.0
대깨문이 문재인 협박범을 쉴드치네? 역시 대가리가 붕어인듯~,0.0
예능 보면서 진지 빠는사람 많네 ㅋㅋ극혐;;;;; 예능은 예능임 저거보고 인성 어쩌고저쩌고 ㅋㅋ어휴 노답,0.0
오 ㄱㅊ노?? 박 하나 심어놓은다음에 존나패는거,0.0
홍위병들 뭉가 추가 위한다고 아가리 돈이 들어오나?,0.0
시어머니 모셔다 친정엄마 생신상도 차려줄건가! 제능력껏 하던가 친정엄마까지 모셔다 생고생시키면서 점수따고싶나 골빈건지 철딱서니가 없는건지 나이도 40 이나 먹었구만!,0.0
예술병 걸린 힙스터들이 또 오지게 의미부여하고 빨아줄듯,0.0
오로지 냄비가 무기인 오징어썩은 냄새나는 세균덩어리김 치 년 들,0.0
좆냥이주인쉑덜왜 집사집사 ㅇㅈㄹ함 ?,0.0
공장가야할새끼들이 재수한다고 지랄 꼴깝을 떨어대니깐 자기도 툭튀어 나오는거지 ㅋㅋ,0.0
처먹는 예능 그만좀 해라..예능이랍시고 노이즈 마케팅으로 식당 이용하는것도 아니고,0.0
베트콩들 왜이리 나댑니까,0.0
담배피는 여자연예인들 아갈똥네,0.0
민주당이 압승인데 왜 이런걸로 지랄인지....,0.0
방탄소년단도 이제 퇴물됬네 꺼져라 이제 ㅋㅋ,0.0
기독교 목사가 떡치고 다니고,0.0
틀딱이네 --- 먹을 나이 됐다,0.0
우익사쿠라 한국에서 꺼져줘~,0.0
문재앙부터 조사가자,0.0
장사해처묵고살기 힘들지 .그냥디져,0.0
아 이 개병신새끼씨발ㅋㅋ,0.0
윤은혜는 어쩌고 ??? 이 나쁜 x꺄,0.0
안할꺼면 글올리지마라 노잼,0.0
그냥 병신 프로그램,0.0
여자살인범들은 거의 비슷한게 있는데 수면유도제 아니면 수면제 농약 청산가리등 독극물이 주로 사용된다는점 우리나라 최초 사이코페스점수 만점을 기록을 기록한 엄인숙이라는 여자 사형수가 있는데 정말 잔인함 우선 무척 미인었다고 하고 순진하게 생겼다고 함 그걸 이용해 남자에게 접근 수면제를 먹이고 잠이들면 바늘로 눈을 찔러 장님을 만든다고 함 그다음 일부러 자빠뜨려 뇌진탕을 만들고 식물인간 상태가 되면 뜨거운 기름을 얼굴에 부었다고 함 그런식으로 상해보험이니 사망보험금이니 타먹으려고 자기 엄마까지 눈을 바늘로 찔러 장님을 만들고 보험금을 타먹은 희대의 싸이코페스년이었음,0.0
아 ㅅㅂ 음주운전 쓰ㄹㅔ기들 걍 뒤져라,0.0
ㅂㄷㅂㄷ 대지말고,0.0
이제 이상민 빚쟁이 캐릭터도 끝난거 아냐?이제 블쌍한척 그만해라 솔까 저시키가 빚쟁이들에게 좋은팁 알려줬지 탁재훈은 걍 여자나 꼬시면서 살고 김수미는 왜케 많이 나와 무슨 욕쟁이 할망구 컨셉이냐,0.0
조민기 남자답노 한녀들 참교육 린정한다 ^오^,0.0
여자때문에 남자가피해보네,0.0
난 니 얼굴 보면 ㅈ이 싸그라든다ㅡㅡ,0.0
자꾸 말아먹는데 왜 나오지;;쟤들 키울 돈으로 나같음 신인그룹 만들겟노 이기야,0.0
게이야 내친구들이 순경이 많은데 순경의 미래는 으떻노 ㅅㅌㅊ노???,0.0
